id;name;nationality;sex;dob;height;weight;sport;gold;silver;bronze
266237702;Aaron Russell;USA;male;06/04/1993;2.05;98;volleyball;0;0;0
376068084;Abbey D'Agostino;USA;female;5/25/92;1.61;49;athletics;0;0;0
162792594;Abbey Weitzeil;USA;female;12/03/1996;1.78;68;aquatics;1;1;0
884912136;Abigail Johnston;USA;female;11/16/89;1.66;61;aquatics;0;0;0
259002430;Adeline Maria Gray;USA;female;1/15/91;1.73;77;wrestling;0;0;0
447910544;Adrienne Martelli;USA;female;12/03/1987;1.86;77;rowing;0;0;0
234338084;Ajee Wilson;USA;female;05/08/1994;1.73;61;athletics;0;0;0
680600926;Akalani Baravilala;USA;female;07/12/1991;1.68;74;rugby sevens;0;0;0
906750380;Alesha Widdall;USA;female;01/03/1990;1.73;65;hockey;0;0;0
746309995;Alev Kelter;USA;female;3/21/91;1.68;74;rugby sevens;0;0;0
334218519;Alex Bowen;USA;male;09/04/1993;1.96;102;aquatics;0;0;0
723568012;Alex Morgan;USA;female;07/02/1989;1.7;59;football;0;0;0
531765497;Alex Obert;USA;male;12/18/91;1.96;105;aquatics;0;0;0
240862321;Alex Roelse;USA;male;01/10/1995;2.04;115;aquatics;0;0;0
300967214;Alexander Karwoski;USA;male;9/16/90;1.94;90;rowing;0;0;0
994257957;Alexander Massialas;USA;male;4/20/94;1.88;81;fencing;0;1;1
536913332;Alexander Naddour;USA;male;03/04/1991;1.71;70;gymnastics;0;0;1
71010173;Alexandra Raisman;USA;female;5/25/94;1.58;52;gymnastics;1;2;0
969053827;Ali Krieger;USA;female;7/28/84;1.68;63;football;0;0;0
473463517;Alisa Kano;USA;female;11/07/1994;1.63;47;gymnastics;0;0;0
269057885;Alise Post;USA;female;1/17/91;1.58;56;cycling;0;1;0
893065758;Alisha Glass;USA;female;04/05/1988;1.84;72;volleyball;0;0;1
531225990;Allie Long;USA;female;8/13/87;1.72;59;football;0;0;0
606328661;Allison M. Brock;USA;female;12/07/1979;1.68;58;equestrian;0;0;1
944908522;Allison Schmitt;USA;female;06/07/1990;1.86;74;aquatics;1;1;0
629649792;Allyson Felix;USA;female;11/18/85;1.68;56;athletics;2;1;0
61804195;Alyssa Manley;USA;female;5/27/94;1.58;53;hockey;0;0;0
360098950;Alyssa Naeher;USA;female;4/20/88;1.75;61;football;0;0;0
960382539;Amanda Elmore;USA;female;3/13/91;1.81;79;rowing;1;0;0
839220577;Amanda Polk;USA;female;08/02/1986;1.81;83;rowing;1;0;0
118871166;Amanda Weir;USA;female;03/11/1986;1.88;77;aquatics;0;1;0
235304532;Amber Campbell;USA;female;06/05/1981;1.71;90;athletics;0;0;0
147471231;Ameer Webb;USA;male;3/19/91;1.81;82;athletics;0;0;0
36505645;Amelia Cozad;USA;female;05/06/1991;1.61;51;aquatics;0;0;0
318291811;Amy Cragg;USA;female;1/21/84;1.63;45;athletics;0;0;0
130198005;Anders Weiss;USA;male;11/05/1992;1.96;92;rowing;0;0;0
478977690;Andrea Geubelle;USA;female;6/26/91;1.63;58;athletics;0;0;0
777045922;Andrew Campbell Jr;USA;male;02/02/1992;1.78;70;rowing;0;0;0
207851406;Andrew Durutalo;USA;male;10/25/87;1.88;107;rugby sevens;0;0;0
2538424;Andrew Evans;USA;male;1/25/91;1.99;113;athletics;0;0;0
191993260;Andrew Thomas Bisek;USA;male;8/18/86;1.78;81;wrestling;0;0;0
663091466;Angel McCoughtry;USA;female;09/10/1986;1.85;70;basketball;1;0;0
518674471;Angelica Delgado;USA;female;12/14/90;1.61;52;judo;0;0;0
145066330;Anita Alvarez;USA;female;12/02/1996;1.71;51;aquatics;0;0;0
925256825;Annie Haeger;USA;female;02/05/1990;1.68;58;sailing;0;0;0
261223419;Anthony Ervin;USA;male;5/26/81;1.91;80;aquatics;2;0;0
179926166;Anthony Fahden;USA;male;2/27/86;1.81;71;rowing;0;0;0
824387423;Antonio Vargas;USA;male;8/15/96;1.68;;boxing;0;0;0
9514544;April Ross;USA;female;6/20/82;1.86;74;volleyball;0;0;1
952365137;Aria Fischer;USA;female;03/02/1999;1.83;78;aquatics;1;0;0
124325348;Ariana Washington;USA;female;8/27/96;1.76;61;athletics;0;0;0
708613279;Arman Hall;USA;male;02/12/1994;1.83;74;athletics;1;0;0
143278150;Ashleigh Johnson;USA;female;09/12/1994;1.86;81;aquatics;1;0;0
810246164;Ashley Nee;USA;female;6/15/89;1.63;54;canoe;0;0;0
889563611;Ashley Spencer;USA;female;06/08/1993;1.78;58;athletics;0;0;1
241360203;Ashlyn Harris;USA;female;10/19/85;1.73;64;football;0;0;0
629254109;Ashton Eaton;USA;male;1/21/88;1.86;81;athletics;1;0;0
957513695;Austin Hack;USA;male;5/17/92;2.04;99;rowing;0;0;0
143281351;Barbara Nwaba;USA;female;1/18/89;1.76;66;athletics;0;0;0
844171101;Becky Sauerbrunn;USA;female;06/06/1985;1.7;61;football;0;0;0
925936432;Ben Blankenship;USA;male;12/15/88;1.78;63;athletics;0;0;0
8906492;Ben Kanute;USA;male;12/14/92;1.83;70;triathlon;0;0;0
249786185;Ben Pinkelman;USA;male;6/13/94;1.94;99;rugby sevens;0;0;0
